datetime,id,year,month,day,hour,minute,second,t_mil,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,del_t
2021-11-10 12:58:41,3,2021,11,10,12,58,41,3840.0,0.91,0.08,-0.14,114.62,-158.81,128.97,0.0,0.0,0.0,9.0
2021-11-10 12:58:42,51,2021,11,10,12,58,42,4366.0,0.73,0.47,-0.15,60.61,-109.31,73.67,0.0,0.0,0.0,11.0
2021-11-10 12:58:43,137,2021,11,10,12,58,43,5368.0,0.82,0.02,0.56,-39.92,47.73,124.39,0.0,0.0,0.0,12.0
2021-11-10 12:58:44,219,2021,11,10,12,58,44,6367.0,0.55,-0.73,0.03,57.68,68.18,-185.24,21.66,45.64,-23.14,17.0
2021-11-10 12:58:45,297,2021,11,10,12,58,45,7365.0,-0.64,-1.04,-0.25,-26.37,3.85,109.56,0.0,0.0,0.0,10.0
2021-11-10 12:58:46,378,2021,11,10,12,58,46,8361.0,0.62,0.7,-0.25,-3.48,17.7,109.5,0.0,0.0,0.0,11.0
2021-11-10 12:58:47,457,2021,11,10,12,58,47,9363.0,0.83,-0.08,-0.46,-15.5,39.49,-58.72,0.0,0.0,0.0,12.0
2021-11-10 12:58:48,533,2021,11,10,12,58,48,10362.0,0.21,-0.75,-0.57,-81.67,-74.52,-58.41,11.72,51.27,0.49,16.0
2021-11-10 12:58:49,609,2021,11,10,12,58,49,11365.0,0.65,-0.26,0.76,-81.3,-7.69,64.76,0.0,0.0,0.0,12.0
2021-11-10 12:58:50,688,2021,11,10,12,58,50,12368.0,0.7,0.03,0.76,96.31,3.91,-33.69,0.0,0.0,0.0,10.0
2021-11-10 12:58:51,768,2021,11,10,12,58,51,13366.0,0.89,0.14,-0.37,5.43,-16.97,84.23,0.0,0.0,0.0,12.0
2021-11-10 12:58:52,847,2021,11,10,12,58,52,14364.0,0.94,0.02,0.33,109.19,0.49,-81.54,19.95,18.08,-30.37,13.0
2021-11-10 12:58:53,923,2021,11,10,12,58,53,15359.0,0.68,-0.16,-0.71,-15.2,-2.81,63.72,0.0,0.0,0.0,12.0
2021-11-10 12:58:54,1002,2021,11,10,12,58,54,16369.0,0.44,0.88,-0.0,106.93,-93.99,21.85,0.0,0.0,0.0,9.0
2021-11-10 12:58:55,1080,2021,11,10,12,58,55,17365.0,0.61,-0.79,0.3,147.28,61.89,-36.99,0.0,0.0,0.0,10.0
2021-11-10 12:58:56,1158,2021,11,10,12,58,56,18359.0,0.93,-0.02,-0.3,-51.03,-93.26,54.57,25.34,30.49,-25.68,14.0
2021-11-10 12:58:57,1235,2021,11,10,12,58,57,19365.0,0.62,0.23,0.77,-5.0,-24.72,-48.46,0.0,0.0,0.0,12.0
2021-11-10 12:58:58,1314,2021,11,10,12,58,58,20362.0,0.35,-0.8,0.51,67.2,4.94,-31.07,0.0,0.0,0.0,12.0
2021-11-10 12:58:59,1393,2021,11,10,12,58,59,21364.0,0.72,-0.35,-0.42,21.91,0.37,68.48,22.01,45.58,-16.38,16.0
2021-11-10 12:59:00,1471,2021,11,10,12,59,0,22360.0,0.75,0.51,0.32,-36.19,-38.45,25.27,7.3,10.35,-33.97,15.0
2021-11-10 12:59:01,1549,2021,11,10,12,59,1,23370.0,0.59,0.38,0.68,11.29,94.36,18.19,0.0,0.0,0.0,12.0
2021-11-10 12:59:02,1627,2021,11,10,12,59,2,24362.0,0.87,-0.17,-0.21,71.11,74.77,-49.5,0.0,0.0,0.0,13.0
2021-11-10 12:59:03,1704,2021,11,10,12,59,3,25362.0,0.33,-0.69,-0.73,-20.39,18.86,-23.99,7.95,56.38,-5.69,17.0
2021-11-10 12:59:04,1779,2021,11,10,12,59,4,26366.0,0.47,-0.64,0.75,-73.24,7.81,17.09,0.0,0.0,0.0,12.0
2021-11-10 12:59:05,1858,2021,11,10,12,59,5,27364.0,0.91,0.22,0.53,83.68,87.22,-8.18,0.0,0.0,0.0,12.0
2021-11-10 12:59:06,1935,2021,11,10,12,59,6,28370.0,0.47,-0.15,-0.77,10.01,25.09,-14.71,0.0,0.0,0.0,12.0
2021-11-10 12:59:07,2010,2021,11,10,12,59,7,29364.0,0.96,0.22,-0.03,-55.05,-64.94,70.13,18.48,14.26,-27.06,15.0
2021-11-10 12:59:08,2090,2021,11,10,12,59,8,30366.0,0.45,0.49,0.76,25.33,-72.02,-27.04,0.0,0.0,0.0,12.0
2021-11-10 12:59:09,2170,2021,11,10,12,59,9,31372.0,0.71,-0.49,-0.5,-2.81,-24.9,73.79,0.0,0.0,0.0,11.0
2021-11-10 12:59:10,2247,2021,11,10,12,59,10,32371.0,0.32,0.24,0.98,-26.73,-77.82,11.9,-5.43,14.93,-41.35,15.0
2021-11-10 12:59:11,2328,2021,11,10,12,59,11,33359.0,0.22,0.57,0.82,-24.23,18.68,40.71,-13.37,14.29,-39.98,16.0
2021-11-10 12:59:12,2413,2021,11,10,12,59,12,34367.0,0.7,0.56,-0.21,-56.95,90.03,-13.79,0.0,0.0,0.0,11.0
2021-11-10 12:59:13,2492,2021,11,10,12,59,13,35367.0,0.94,-0.29,-0.2,-66.77,-131.23,43.64,0.0,0.0,0.0,13.0
2021-11-10 12:59:14,2573,2021,11,10,12,59,14,36364.0,0.24,0.15,0.99,12.33,-15.44,-12.63,0.0,0.0,0.0,12.0
2021-11-10 12:59:15,2650,2021,11,10,12,59,15,37360.0,0.97,-0.3,0.31,-22.83,5.92,-8.18,20.85,25.54,-32.73,15.0
2021-11-10 12:59:16,2730,2021,11,10,12,59,16,38370.0,0.82,0.17,-0.1,-27.95,143.62,-46.26,0.0,0.0,0.0,13.0
2021-11-10 12:59:17,2804,2021,11,10,12,59,17,39365.0,-0.72,-0.21,-0.81,-20.32,-12.08,-49.5,0.0,0.0,0.0,13.0
2021-11-10 12:59:18,2878,2021,11,10,12,59,18,40360.0,0.29,-0.66,-0.72,-21.42,-35.95,-26.37,0.0,0.0,0.0,13.0
2021-11-10 12:59:19,2958,2021,11,10,12,59,19,41371.0,0.73,-0.63,-0.24,-15.69,30.27,30.58,0.0,0.0,0.0,9.0
2021-11-10 12:59:20,3037,2021,11,10,12,59,20,42366.0,0.86,-0.27,-0.46,-26.67,-13.06,4.15,0.0,0.0,0.0,13.0
